Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2024,Audi,S5 Cabriolet quattro,Subcompact,3.0,6,AS8,Z,11.9,8.8,10.5,27,247,5,5
2024,Audi,S5 Coup? quattro,Subcompact,3.0,6,AS8,Z,11.1,8.1,9.7,29,228,5,5
2024,Audi,S5 Sportback quattro,Mid-size,3.0,6,AS8,Z,11.8,8.2,10.2,28,238,5,5
2024,Audi,S6 quattro,Mid-size,2.9,6,AS8,Z,12.3,8.8,10.7,26,252,5,5
2024,Audi,S7 quattro,Mid-size,2.9,6,AS8,Z,12.3,8.8,10.7,26,252,5,5
2024,Audi,S8 quattro,Full-size,4.0,8,AS8,Z,16.0,10.0,13.3,21,312,4,3
2024,Audi,SQ5 quattro,Sport utility vehicle: Small,3.0,6,AS8,Z,12.6,9.8,11.4,25,266,4,5
2024,Audi,SQ5 Sportback quattro,Sport utility vehicle: Small,3.0,6,AS8,Z,12.6,9.8,11.4,25,266,4,5
2024,Audi,SQ7 quattro,Sport utility vehicle: Standard,4.0,8,AS8,Z,16.0,11.5,13.9,20,326,3,3
2024,Audi,SQ8 quattro,Sport utility vehicle: Standard,4.0,8,AS8,Z,15.6,11.5,13.8,20,322,3,3
2024,Bentley,Bentayga,Sport utility vehicle: Standard,4.0,8,AS8,Z,17.1,11.4,14.6,19,343,3,3
2024,Bentley,Bentayga EWB,Sport utility vehicle: Standard,4.0,8,AS8,Z,17.1,11.4,14.6,19,343,3,3
2024,Bentley,Continental GT,Subcompact,4.0,8,AM8,Z,16.4,10.5,13.7,21,322,3,3
2024,Bentley,Continental GT,Subcompact,6.0,12,AM8,Z,19.2,11.4,15.7,18,367,2,3
2024,Bentley,Continental GT Convertible,Minicompact,4.0,8,AM8,Z,16.7,11.4,14.3,20,337,3,3
2024,Bentley,Continental GT Convertible,Minicompact,6.0,12,AM8,Z,19.8,12.7,16.6,17,388,2,3
2024,Bentley,Flying Spur,Mid-size,4.0,8,AM8,Z,16.1,11.9,14.2,20,333,3,3
2024,Bentley,Flying Spur,Mid-size,6.0,12,AM8,Z,19.3,12.4,16.2,17,378,2,3
2024,BMW,230i xDrive Coupe,Subcompact,2.0,4,AS8,Z,9.6,7.1,8.4,34,195,6,3
2024,BMW,330i xDrive Sedan,Compact,2.0,4,AS8,Z,9.8,7.0,8.6,33,200,6,7
2024,BMW,430i xDrive Cabriolet,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,32,203,5,7
2024,BMW,430i xDrive Coupe,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,32,203,5,7
2024,BMW,530i xDrive Sedan,Mid-size,2.0,4,AS8,Z,8.7,6.8,7.9,36,182,6,7
2024,BMW,760i xDrive Sedan,Full-size,4.4,8,AS8,Z,13.3,9.3,11.5,25,265,4,5
2024,BMW,ALPINA B8 Gran Coupe,Mid-size,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
2024,BMW,ALPINA XB7,Sport utility vehicle: Standard,4.4,8,AS8,Z,15.2,11.6,13.6,21,314,4,5
2024,BMW,M2 Coupe,Subcompact,3.0,6,AS8,Z,14.6,10.3,12.7,22,294,4,5
2024,BMW,M2 Coupe,Subcompact,3.0,6,M6,Z,14.3,10.0,12.4,23,287,4,5
2024,BMW,M240i xDrive Coupe,Subcompact,3.0,6,AS8,Z,10.4,7.4,9.0,31,210,5,5
2024,BMW,M3 Sedan,Compact,3.0,6,M6,Z,14.7,10.1,12.6,22,293,4,5
2024,BMW,M3 Competition M xDrive Sedan,Compact,3.0,6,AS8,Z,14.6,10.5,12.7,22,296,4,5
2024,BMW,M3 CS Sedan,Compact,3.0,6,AS8,Z,15.3,10.6,13.2,21,305,4,5
2024,BMW,M340i xDrive Sedan,Compact,3.0,6,AS8,Z,10.4,7.5,9.1,31,212,5,5
2024,BMW,M4 Competition M xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,15.1,10.4,12.9,22,301,4,5
2024,BMW,M4 Competition M xDrive Coupe,Subcompact,3.0,6,AS8,Z,14.6,10.5,12.7,22,296,4,5
2024,BMW,M4 Coupe,Subcompact,3.0,6,M6,Z,14.7,10.1,12.6,22,293,4,5
2024,BMW,M440i xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,10.4,7.5,9.1,31,211,5,5
2024,BMW,M440i xDrive Coupe,Subcompact,3.0,6,AS8,Z,10.7,7.5,9.3,30,216,5,5
2024,BMW,M8 Competition Cabriolet,Subcompact,4.4,8,AS8,Z,16.0,10.9,13.7,21,321,3,3
2024,BMW,M8 Competition Coupe,Subcompact,4.4,8,AS8,Z,16.0,10.9,13.7,21,321,3,3
2024,BMW,M8 Competition Gran Coupe,Mid-size,4.4,8,AS8,Z,16.0,10.9,13.7,21,321,3,3
2024,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
2024,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
2024,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
2024,BMW,X1 xDrive28i,Sport utility vehicle: Small,2.0,4,AM7,Z,9.6,7.0,8.4,34,195,6,8
2024,BMW,X1 M35i xDrive,Sport utility vehicle: Small,2.0,4,AM7,Z,10.1,7.6,9.0,31,208,5,6
2024,BMW,X2 xDrive28i,Sport utility vehicle: Small,2.0,4,AM7,Z,9.7,7.1,8.5,33,198,6,8
2024,BMW,X2 M35i xDrive,Sport utility vehicle: Small,2.0,4,AM7,Z,10.3,7.3,8.9,32,207,5,6
2024,BMW,X3 xDrive30i,Sport utility vehicle: Small,2.0,4,AS8,Z,11.0,8.4,9.9,29,229,5,7
2024,BMW,X3 M,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
2024,BMW,X3 M Competition,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
2024,BMW,X3 M40i,Sport utility vehicle: Small,3.0,6,AS8,Z,10.9,9.0,10.1,28,235,5,5
2024,BMW,X4 xDrive30i,Sport utility vehicle: Small,2.0,4,AS8,Z,11.0,8.4,9.9,29,229,5,7
2024,BMW,X4 M,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
2024,BMW,X4 M Competition,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
